,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 10:29,11-08-2026,Pandurangan,LOYALO INTERNATIONAL RESIDENTIAL SCHOOL,SRIPERUMBUDUR,,PRINCIPAL,,,7299008423,,Career Guidance,No,Oct 17,Cold,,,,,,,Not Interested,,,Not interested ,
27/08/2026 10:29,11-08-2026,Pandurangan,"ST MARYS MATRIC HR SEC SCHOOL,SRIPERUMBUDUR",SRIPERUMBUDUR,,PRINCIPAL,Principal,,7082022969,,Career Guidance,No,,Warm,,,,,OCTOBER,,,,,,
27/08/2026 10:29,11-08-2026,Pandurangan,"HAYAGRIVA VIDHYASHRAM SCHOOL,SRIPERUMBUDUR",SRIPERUMBUDUR,,PRINCIPAL,Principal,,,,Career Guidance,No,,Cold,,,,,,,,,,"PRINCIPAL IS CURRENTLY OUT OF STATION,THEY WILL BE ABLE AT 3 PM TODAY",
27/08/2026 10:29,11-08-2026,Pandurangan,"VIVEKANANDA VIDYALAYA MATRIC HR SEC SCHOOL,SRIPERUMBUDUR",SRIPERUMBUDUR,350,KALAIVANI,Principal,,9994735611,,Career Guidance,No,SEPT END,Warm,,21/09/2026,,,SEPT MID,,,,,"POSITIVE RESPONSE,DISCUSSED WITH PRINCIPAL,NEXT WEEK WILL UPDATE THE CONFIRMATION.","spoke with mam, conform permission oct month or nov month , once recalls oct month"
27/08/2026 10:29,11-08-2026,Pandurangan,"ST JOSEPHS HIGHER SECONDARY SCHOOL,SRIPERUMBUDUUR",SRIPERUMBUDUR,,PRINCIPAL,Principal,,9444448734,,Career Guidance,No,,Cold,,,,,NEXT WEEK,,,,,"POSITIVE RESPONSE,DISCUSSED WITH PRINCIPAL,NEXT WEEK WILL UPDATE THE CONFIRMATION.",
27/08/2026 10:29,11-08-2026,Pandurangan,"RYAN INTERNATIONAL  SCHOOL,SRIPERUMBUDUR",SRIPERUMBUDUR,,NINA,Admin,,9962014011,,Career Guidance,No,,Cold,,,,,,,,,,"PRINCIPAL OUT OF STATION,SENT THE MAIL COMMUNICATION THROUGH THIS MAIL-Ris.chennai@ryangroup.org",
27/08/2026 10:39,12-08-2026,Pandurangan,"SPARTAN INTERNATIONAL SCHOOL,POONAMALLEE",POONAMALLEE,,,,,,,Career Guidance,No,,Warm,,,,,,,,,,Got permission-Orientation date - October month-Will confirm the date.,
27/08/2026 10:39,12-08-2026,Pandurangan,"JAYA JAYA SANKARA INTERNATIONAL SCHOOL,POONAMALLEE",POONAMALLEE,,PROGRAM COORDINATOR,,,9976056907,,Career Guidance,No,OCTOBER MONTH,Warm,,,,,,,,,,Once discussion with management check available date and confirm .,"spoke with mam, conform permission oct month or nov month , once recalls oct month"
27/08/2026 10:39,12-08-2026,Pandurangan,"MSJM HINDU VIDHYALAYAA MATRIC HR SEC SCHOOL,POONAMALLEE",POONAMALLEE,,SUMATHIVASAN,Principal,,9840518026,,Career Guidance,No,,Warm,,27/09/2026,,,,Schedule Career Guidance,Program Discussion Ongoing,,,"Got permission,Once check the available date and confirm,Planning to contact the orientation program next month","exam going on , so call back sept month last week call back"
27/08/2026 10:39,12-08-2026,Pandurangan,"HOLY CRESCENT MATRIC HR SEC SCHOOL,POONAMALEE",POONAMALLEE,,ANNAMALAI,Vice Principal,,9566980170,,Career Guidance,No,NEXT MONTH,Warm,,,,,,,,,,"October month contact the orientation program. 
",
27/08/2026 10:39,12-08-2026,Pandurangan,"JOSEPH VIDHYA KSHETRA SENIOR SECONDARY SCHOOL, POONAMALLEE",POONAMALLEE,,OFFICE NUMBER,,,9444290714,josephkspetri2021@gmail.com,Career Guidance,No,OCTOBER MONTH,Warm,,,,,,,,,,"Got permission,September month will be contact the orientation program. Once confirm with date",
27/08/2026 10:39,12-08-2026,Pandurangan,"SAROJINI VARADAPPAN GIRLS HR SEC SCHOOL, POONAMALLEE",POONAMALLEE,,,Principal,,8124302266,,Career Guidance,No,SEPTEMBER,Warm,,,,,,,,,,"I met the Principal regarding the Career Guidance Program. Since it is a Government-aided school, they informed me that permission from the Government Education Office/CEO is required. They said they cannot give permission without the approval. The Principal also mentioned that they will discuss it with the concerned officials and let us know. :::",
27/08/2026 10:39,12-08-2026,Pandurangan,"SUNDAR MATRIC HR SEC SCHOOL,POONAMALLEE",POONAMALLEE,,,,,,,Career Guidance,No,,Cold,,,,,,,,,,"Principal was busy with office meeting, the staff requested me to visit again next week to meet the principal.",
27/08/2026 10:39,12-08-2026,Pandurangan,"SRI ARABHINDO MATRIC HR SEC SCHOOL, MALAYAMBAKKAM",POONAMALLEE,,,Principal,,9080672501,,Career Guidance,No,,Cold,,,,,,,,,,"Principal was busy with office meeting and sports day, the staff requested me to visit again next week to meet the principal.",
27/08/2026 10:39,12-08-2026,Pandurangan,SANA MODEL SCHOOL,POONAMALLEE,,,,,,,Career Guidance,No,,Cold,,,,,,,,,,"Principal out of station, The staff requested me to visit coming Friday to meet the principal",
27/08/2026 11:00,13-08-2026,Kingsten,CHRIST KING MAT HR SEC SCHOOL (Orientation Program Completed),THIRUVALLUR,,JULITH - PRINCIPAL,Principal,,9047895070,,Career Guidance,Yes,21 August,CONDUCTED,,,,,,,,,,Got permission Orientation program on next week Friday (21st August 2026) Afternoon 2'clock.,
27/08/2026 11:00,13-08-2026,Kingsten,"CHELLAMAL VIDYALAYA MAT HR SCHOOL 
 (Orientation Program Completed)",THIRUVALLUR,,VENKATESWARI - PRINCIPAL,Principal,,9597002530,,Career Guidance,Yes,29 August,CONDUCTED,,,,,,,,,,Discussed with principal.  Got permission Orientation program on next month Friday (29th August 2026),
27/08/2026 11:00,13-08-2026,Kingsten,JACOB MATRICULATION HR SEC SCHOOL,THIRUVALLUR,,PRATHAP,,,8489923320,,Career Guidance,No,OCTOBER 1ST WEEK,Hot,,,,,,,,,,"Got Permission.October First week plan to conduct orientation program , Plan to conduct big guidance program",
27/08/2026 11:00,13-08-2026,Kingsten,SHREE NIKETHAN MAT SCHOOL ,THIRUVALLUR,,RECEPTION,Admin,,"9942927117 , Sundar Principal Secretary - 8098608131",,Career Guidance,No,OCTOBER 1ST WEEK,Warm,,,,,,,,,,"September month plan to conduct Orientation program.Date will update by September first week.
Meet vp Mrs. kavitha - 9942927117 . 
Program conformed , date will b updated on Thursday",
27/08/2026 11:00,13-08-2026,Kingsten,SRI RM JAIN VIDYAPEETH CBSE SCHOOL,THIRUVALLUR,,LAVANYA PRINCIPAL SECRETARY,Secretary,,8056759743,,Career Guidance,No,SEPT MONTH MID,Warm,,,,,,,,,,"Discussed with CBSE principal secretary,Got permission They are requested to send the speaker profile 170+ strength",
27/08/2026 11:00,13-08-2026,Kingsten,SRI RM JAIN VIDYAPEETH MAT HR SCHOOL,THIRUVALLUR,,KAVITHA PRINCIPAL,Principal,,9566738889,,Career Guidance,No,,Warm,,,,,,,,,,"Got Permission,Same time as given CBSE school as September mid. 80+ STUDENT",
27/08/2026 11:00,13-08-2026,Kingsten,ABS GLOBAL SMART SCHOOL,THIRUVALLUR,,PARIMALA,,,9600048361,,Career Guidance,No,,Warm,,,,,,,,,,"Discussed with AO. Tomorrow get update when will conduct the date of orientation program.
Conveyed msg to principal . He s in onam celebration. 
Tomorrow recp Parimala 9600048361 will fix appointment with principal.",
27/08/2026 11:11,14-08-2026,Ajith Kumar,OXFORD PUBLIC SCHOOL,THIRUNINRAVUR,,HARINI - PRINCIPAL,,,9940051140,,Career Guidance,No, ,Hot,,,,,,,,,,Discussed with principal ma'am.Got permission to conduct the program on 2nd or 3rd of October.,
27/08/2026 11:12,14-08-2026,Ajith Kumar,OXFORD MAT HR SEC SCHOOL,THIRUNINRAVUR,,RAJESH - PRINCIPAL,,,9789170500,,Career Guidance,No,October 1st,Warm,,,,,,,,,,Discussed with principal .Got permission to conduct the program at the end of September or 1st week of October,
27/08/2026 11:12,14-08-2026,Ajith Kumar,ST CLARET MAT HR SEC SCHOOL,THIRUNINRAVUR,,,,,,,Career Guidance,No,,Cold,,,,,,,,,,The principal struck with a busy schedule due to functions. They will update next week after that again we need to meet the principal regarding the program. Have possibilities to conduct the  program once we meet the principal.,
27/08/2026 11:12,14-08-2026,Ajith Kumar,ST JOHN'S MAT HR SEC SCHOOL,THIRUNINRAVUR,,,,,,,Career Guidance,No,,Warm,,,,,,,,,,Discussed with management. Almost got the permission on October 1st week. But still they need to discuss with the correspondent and let us know the exact date to conduct the program.,
27/08/2026 11:12,14-08-2026,Ajith Kumar,JAYA MAT HR SEC SCHOOL,THIRUNINRAVUR,,,,,9445209395,,Career Guidance,No,,Warm,,,,,,,,,,Discussed with the Head of the department (Jaya college). got the permission .She needs to check and discuss with management and update the date to conduct the program,
27/08/2026 11:12,14-08-2026,Ajith Kumar,JAYA PUBLIC SCHOOL,THIRUNINRAVUR,,HOD,,,9445209395,,Career Guidance,No,,Warm,,,,,,,,,,Discussed with the Head of the department (Jaya college). got the permission .She needs to check and discuss with management and update the date by next week,
27/08/2026 11:12,14-08-2026,Ajith Kumar,GRACE PARK CONVENT MAT HR SEC SCHOOL,THIRUNINRAVUR,,,,,,,Career Guidance,No,,Warm,,,,,,,,,,"Principal's not available. Principal and other office staff are available on Monday only. This Grace school is joined with Jaya groups, already we got permission in Jaya school so probably we have possibilities to get permission in this school.",
27/08/2026 11:23,18-08-2026,Kingsten,VELAMMAL VIDHYALAYA,AVADI,,BANU-RECEPTION,Admin,,9790838999,,Career Guidance,No,,Cold,,,,,,,,,,,
27/08/2026 11:24,18-08-2026,Kingsten,SUDHARSANAM VIDHYASHARAM,AVADI,,,,,,,,,,Cold,,,,,,,,,,,
27/08/2026 11:24,18-08-2026,Kingsten,VIJAYANTA MODEL HIGHER SECONDARY SCHOOL,AVADI,345,brindhu,Vice Principal,,,,,,11th sep program,Hot,,,,,,,Program Confirmed,,,Got Permission. They need beerow under 10k range,
27/08/2026 11:24,18-08-2026,Kingsten,VIJYANTA SENIOR SECONDARY SCHOOL,AVADI,130,,Principal,,,,,,7th sep call back,Hot,,,,,,,,,,Got Permission. They need camera sponser 20k. but 5k is okay.,
27/08/2026 11:24,18-08-2026,Kingsten,SB VIJAYA REDDIAR SCHOOL,AVADI,50+,,,,,,Career Guidance,No,sep 7th to 11th program ,Hot,,,,,,,,,,,
27/08/2026 11:24,18-08-2026,Kingsten,IMMACULATE  GIRLS HIGHER SECONDARY SCHOOL,AVADI,600+,Sister Ananthi ,Principal,,8056083561,,Career Guidance,No,Oct 10th before,Hot,,,,,call back october 5th,,Program Confirmed,,,Got Permission. October month program planned,
27/08/2026 11:24,18-08-2026,Kingsten,JAIGOPAL ,AVADI,,,,,,,,,,Cold,,,,,,,,,,Principal struck with busy,
27/08/2026 11:51,20-08-2026,Ajith Kumar,ST MARYS GIRLS HR SEC SCHOOL ,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,The principal and HM is not available. They went for program. They requested to visit again after 1 month,
27/08/2026 11:52,20-08-2026,Ajith Kumar,ST MARY'S MAT HR SEC SCHOOL,CHENGALPATTU,,Roona mary,Principal,,9626023816,,Career Guidance,,,Warm,,December 1st week,,,,,,,,Discussed with principal ma'am. *Got permission*. They will discuss with management and then update the date to conduct the program.,
27/08/2026 11:52,20-08-2026,Ajith Kumar,"ST JOSEPHS HIGHER SECONDARY SCHOOL,SRIPERUMBUDUUR",CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,"Discussed with principal. They were not allowed other college programs. 
They made us wait for one and a half hours.",
27/08/2026 11:52,20-08-2026,Ajith Kumar,SDA MAT HR SEC SCHOOL,CHENGALPATTU,,,Admin,,044 2742 3357,,Career Guidance,,,Warm,,,,,,,,,,The Principal is not available. Discussed with HM almost Got the permission . They need to discuss with the principal and then update the exact date.Need to visit again.,
27/08/2026 11:52,20-08-2026,Ajith Kumar,CSI ST COLAMBAS HR SEC SCHOOL,CHENGALPATTU,,Fransis,Other,AHM,7305929030,,Career Guidance,,,Warm,,October 1st week,,,,Schedule Career Guidance,Program Discussion Ongoing,,,Got permission on 1st week of october ,
27/08/2026 11:52,20-08-2026,Ajith Kumar,SRI RAMAKRISHNA MISSION VIDYALAYA HR SEC SCHOOL,CHENGALPATTU,,Sathish ,Vice Principal,,9698054678,,Career Guidance,,,Warm,,,,,,,, ,,,
27/08/2026 11:52,20-08-2026,Ajith Kumar,SRI RAMAKRISHNA MISSION VIDYALAYA GIRLS HR SEC SCHOOL,CHENGALPATTU,,,Other,Head master,9444040891,,,,,Cold,,,,,,,,,,,
27/08/2026 11:52,20-08-2026,Ajith Kumar,SRI RAMAKRISHNA MISSION VIDYALAYA BOYS HR SEC SCHOOL,CHENGALPATTU,,Parthasarathi,Principal,,9842254399,,Career Guidance,,,Warm,,3rd sep,,,,Follow up with Principal,,,,Spoke with HM have function on 2nd and 3rd sep. So maybe 4th or 5th sep can contact the program,
27/08/2026 11:52,20-08-2026,Ajith Kumar,CSI ALISON CASSIE MATRIC SCHOOL,CHENGALPATTU,,Jemima ,Other,AHM,9894550689,,Career Guidance,,,Warm,,,,,,,,,,,
27/08/2026 11:52,20-08-2026,Ajith Kumar,CSI ST HILDAS AND ST HUGHS MATRIC HR SEC SCHOOL,CHENGALPATTU,,,,,,,,,,Cold,,,,,,Follow up with Principal,,,,,
27/08/2026 13:24,21-08-2026,Ajith Kumar,ANNAI SARASWATHI MATRIC HR SEC SCHOOL,THIRUVALLUR,,Naresh ,Principal,,9994545680,,Career Guidance,,,Warm,,October ,,,,,,,,,
27/08/2026 13:24,21-08-2026,Ajith Kumar,ST ANNES MATRIC HR SEC SCHOOL,THIRUVALLUR,,,,,,,,,,Cold,,,,,,,,,,,
27/08/2026 13:24,21-08-2026,Ajith Kumar,BHARATHIDASAN MAT HR SEC SCHOOL,THIRUVALLUR,,Rajesh,Admin,,9597328312,,Career Guidance,,,Warm,,October last week,,,,Discuss with Management,,,,"Almost Got the permission October last week, need to confirm the date with correspondent.",
27/08/2026 13:24,21-08-2026,Ajith Kumar,CSI GOUIDE HR SEC SCHOOL,THIRUVALLUR,,,,,,,,,,Cold,,,,,,,,,,Revisit,
27/08/2026 13:24,21-08-2026,Ajith Kumar,DRBCCC HR SEC SCHOOL,THIRUVALLUR,,,,,,,,,,Cold,,,,,,,,,,Revisit ,
27/08/2026 13:24,24-08-2026,Ajith Kumar,SCAD WORLD SCHOOL,CHENGALPATTU,32,Jothi,Admin,,9841768659,,Career Guidance,,,Warm,,,,,,,,,,,
27/08/2026 13:24,24-08-2026,Ajith Kumar,VIDHYA SAGAR GLOBAL SCHOOLL,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,,
27/08/2026 13:24,24-08-2026,Ajith Kumar,PRASAN VIDYA MANDIR,CHENGALPATTU,,,Admin,,9841097708,,Career Guidance,,,Warm,,,,,,,,,,Discussed with Admin staff. Usually they conduct yearly once Expo for this kind of orientation program.Once they confirm that schedule they will update us to put a stall in that EXPO.,
27/08/2026 13:24,24-08-2026,Ajith Kumar,ST JOSEPHS MATRIC HR SEC SCHOOL,CHENGALPATTU,,  ,Admin,,8098543494,,Career Guidance,,,Warm,,October 1st week,,,,Follow up with Principal,,,,Discussed with the principal sir. Got permission on October 1st week,
27/08/2026 13:24,24-08-2026,Ajith Kumar,LITTLE JACKY MATRIC HR SEC SCHOOL,CHENGALPATTU,,Renuka Devi,Principal,,9626708228,,Career Guidance,,,Warm,,October 1st week,,,,Follow up with Principal,,,,Discussed with principal mam Got permission in the month of October.Will confirm the exact date 1st week October. Need to Call and remind them.,
27/08/2026 13:24,24-08-2026,Ajith Kumar,RK GYAN JYOTI PUBLIC SCHOOL,CHENGALPATTU,,Sangeetha,Principal,,7845180599,,Career Guidance,,,Warm,,October 1st week,,,,Follow up with Principal,,,,Discussed with principal mam Got permission in the month of October,
27/08/2026 13:24,24-08-2026,Ajith Kumar,BRINDAVAN PUBLIC SCHOOL,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,,
27/08/2026 13:24,24-08-2026,Ajith Kumar,JRK GLOBAL SCHOOL,CHENGALPATTU,,,Principal,,,,,,,Warm,,September 4th,,,,Schedule Career Guidance,,,,Discussed with CBSE school principal ma'am. Almost got permission till September 7th they are busy with schedules. After that they will let us know the exact date to conduct the program. Reminder call on 7th September.,
27/08/2026 13:24,24-08-2026,Ajith Kumar,JRK MATRIC HR SEC SCHOOL,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,,
27/08/2026 13:24,24-08-2026,Ajith Kumar,SIVANANDA RAJARAM SENIOR SECONDARY SCHOOL,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,,
27/08/2026 13:24,25-08-2026,Saranya,GNANA VIDHAYALAYA MATRIC HR SEC SCHOOL,THIRUVALLUR,,RANGANAYAGI,Principal,,9944277910,,Career Guidance,No,,Warm,,,,,,,,,,followed ny pandurangan,
27/08/2026 13:24,25-08-2026,Saranya,DMI ST JOSEPH GLOBAL SENIOR SECONDARY SCHOOL,THIRUVALLUR,,Antony,Principal,,9150076720,,Career Guidance,No,,Cold,,,,,,,,,,discussing with management,
27/08/2026 13:24,25-08-2026,Saranya,ADITYA VIDHYASHARAM,AVADI,,,Principal,,9159523999,,Career Guidance,No,,Warm,,,,,,,,,,discussed with principal and will let know by thursday sep 3rd,
27/08/2026 13:24,25-08-2026,Saranya,MAHALAKSHMI VIDHYA MANDHIR,AVADI,,,Admin,,9940391315,mvmavadi@gmail.com,Career Guidance,No,,Cold,,,,,,,,,,requested for mail once verified will get back ,
27/08/2026 13:24,25-08-2026,Saranya,RMK SENIOR SCEONDARY SCHOOL,AVADI,,Prabhavathi,Coordinator,,6385194666,,Career Guidance,No,,Cold,,,,,,,,,,principal is out of station will come next week only,
27/08/2026 13:24,25-08-2026,Saranya,SHREE NIKETHAN MAT SCHOOL ,THIRUVALLUR,,kavitha,Vice Principal,,9942927117,,Career Guidance,No,,Warm,,,,,,,,,,program confirmed waiting for the date after talking with VP,
27/08/2026 13:24,25-08-2026,Saranya,ABS GLOBAL SMART SCHOOL,THIRUVALLUR,,Jayashree narayanan,Principal,parimala admin,9600048361,,Career Guidance,No,,Warm,,,,,,,,,,program confirmed waiting for the date will get by sep 3rd,
27/08/2026 13:24,25-08-2026,Saranya,BHARATHIDASAN MAT HR SEC SCHOOL,THIRUVALLUR,,Manjula,Secretary,,9994339699,,Career Guidance,No,,Warm,,,,,,,,,,followed by kingsten,
27/08/2026 13:24,25-08-2026,Saranya,AASTRA GLOBAL SCHOOL,THIRUVALLUR,,,Admin,,8939212714,,Career Guidance,No,,Cold,,,,,,,,,,not interested,
27/08/2026 15:31,27-08-2026,Ajith Kumar,BRINDAVAN PUBLIC SCHOOL,CHENGALPATTU,,,,,Office no - 8012518354,,,,,Warm,,,,,,,,,,Discussed with principal mam Got permission in the month of October month Remainder call oct 1 st week,
27/08/2026 15:31,27-08-2026,Kingsten,SRI VENKATESHWARA MATRIC HR SEC SCHOOL,AMBATTUR,350+,,Principal,,,,Career Guidance,No,Oct 6th program,Hot,,,,,,Schedule Career Guidance,Follow-up Required,,,,
27/08/2026 15:31,27-08-2026,Ajith Kumar,ST PAULS SCHOOL,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,"Principal and correspondent out of station. Discussed with office staff. Positive response, Have possibilities to get permission , Remainder call on 31st Monday",
27/08/2026 15:31,27-08-2026,Ajith Kumar,SIVANANDA SARASWATHI MAT HR SEC SCHOOL ,CHENGALPATTU,,,,,7373797551,,,,,Warm,,,,,,,,,,"Discussed with principal mam Got permission on the first week of September or 1st week of October , Strength - 90",
27/08/2026 15:31,27-08-2026,Ajith Kumar,BHARATHIYAR MAT HR SEC SCHOOL,CHENGALPATTU,, Edwin,Correspondent,,9840794341,,,,,Warm,,,,,,,,,,Discussed with correspondent Got permission on the January month. ,
27/08/2026 15:31,27-08-2026,Ajith Kumar,ST JOHNS MAT HR SEC SCHOOL ,CHENGALPATTU,,,,,7397282193,,,,,Warm,,,,,,,,,,Discussed with Vice principal ma'am. Got permission September 8th or 1st week of October.But they will not allow to get details from students. Strength 120+,
27/08/2026 15:31,27-08-2026,Ajith Kumar,ANANTHAVALLI MAT HR SEC SCHOOL ,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,Inspection going on.Can't able to meet anyone. They requested me to visit on Monday.,
27/08/2026 15:31,27-08-2026,Ajith Kumar,NEELAN MAT HR SEC SCHOOL,CHENGALPATTU,,,,,,,,,,Cold,,,,,,,,,,,
27/08/2026 15:31,27-08-2026,Kingsten,MANGALAM VIDHYASHRAM SENIOR SECONDARY SCHOOL,THIRUMULLAIVOYAL,,,,,9150486647,,,,Oct 6th program,Hot,,,,,,,,,,"Discussed with principal.Got Permission strength is less than 15,so it will be combined with venkateswara matric on the same date",
27/08/2026 15:31,27-08-2026,Kingsten,SHETTY VIVEKANANDA VIDYALAYA JUNIOR COLLEGE ,AMBATTUR,,,,,,,,,,Cold,,,,,,,,,,School leave,
27/08/2026 15:31,27-08-2026,Kingsten,SAS TECHNO SCHOOL,AMBATTUR,,,,,,,,,,Cold,,,,,,,,,,School leave,
27/08/2026 15:31,27-08-2026,Kingsten,EBINEZER MATRICULATION HR SEC SCHOOL,AMBATTUR,250+,,Secretary,,9952953300,,Career Guidance,No,Oct 2nd week,Hot,,,,,8th sep call back,Schedule Career Guidance,Program Confirmed,,,"Met principal almost got Permission, but they need to discuss with correspondant and let us know the program date.Call reminder by tomorrow.Strength : 250+",
27/08/2026 15:31,27-08-2026,Kingsten,"EBENEZAR MARCUS INTERNATIONAL SCHOOL & JUNIOR COLLEGE 
CBSE",AMBATTUR,150+,RAJESHWARI (HOD) ,,,9282247947,,,,Oct 2nd week,Hot,,,,,10th sep call back,Schedule Career Guidance,Program Confirmed,,,"CBSE SCHOOL, Already discussed with hod and administrator also, we got Permission with orientation program and they will update with the orientation program date",
27/08/2026 15:31,27-08-2026,Kingsten,ANNAI VOILET INTERNATIONAL SCHOOL ,AMBATTUR,,,,,,,,,,Cold,,,,,,,,,,"They requested to send mail and to get the appointment with the principal,info@violetcbse.com , Alternative Email: avis11.edu@gmail.com",
27/08/2026 15:31,27-08-2026,Kingsten,EMMANUEL METHODIST MAT HR SEC SCHOOL ,AMBATTUR,70+,,,,044 2686 4698,,Career Guidance,No,"8th Sep 2026
10-11am program",Hot,,,,,,,Program Confirmed,,,"We got an appointment next week Monday to meet the principal right now both the principal and the vice principal are busy in sports day work , Strength 70. program confirmed. Date will get by tomorrow (2nd sep 2026) 
""Date: 8th Sep 2026
Time: 10am-11am program"" (1 hour program)",call back tmw (2nd sep 2026)
27/08/2026 15:31,27-08-2026,Kingsten,SRI RAMAKRISHNA MAT HR SEC SCHOOL ,AMBATTUR,60+,PHILIPS,Principal,,98844 32183,,,,8th sep call back,Warm,,,,,,,,,,"We have almost got the permission, the response was positive. We met the Principal regarding the orientation program, they have discussed it with the management. We will get an update next week and they will confirm the date.",
27/08/2026 15:31,27-08-2026,Pandurangan,SSKV GIRLS HR SEC SCHOOL ,KANCHIPURAM,250*,VIJAYALAKSHMI ,Principal,,4427224217,,,No,,Warm,,,,,,,,,,Next month planing to contact the orientation after sept 20th date will be given,
27/08/2026 15:31,27-08-2026,Pandurangan,ROYAL MATRIC HR SEC SCHOOL ,KANCHIPURAM,30,pachaiyappan VP,Vice Principal,,8012518460,,Career Guidance,No,SEPT 2nd,CONDUCTED,,,,,,Schedule Career Guidance,Program Confirmed,,,"Positive response , Once discussion with management and call back Monday, +2 student strength 30",
27/08/2026 15:31,27-08-2026,Pandurangan,SRI NARAYANA GURU MAT HR SEC SCHOOL,KANCHIPURAM,180*,principal,Principal,,"9543358222,    04427227256",,Career Guidance,No,SEPT 2nd,CONDUCTED,,,,,,Schedule Career Guidance,Program Confirmed,,,"Got permission.Next week planning to contact the orientation program , Total strength- 185",SEPT 2ND PROGRAM CONFIRM 
